Id,Product_name,Region,Category,Sub_Category,Date,Quantity,Unit_Price,Profit,Sales,
1,Laptop,North,Electronics,Premium,1/1/2024,1,50000,8000,50000,
2,Mobile,South,Electronics,Standard,1/2/2024,2,20000,3000,40000,
3,Tablet,East,Electronics,Basic,1/3/2024,1,15000,2000,15000,
4,Chair,West,Furniture,Standard,1/4/2024,3,7000,1500,21000,
5,Notebook,North,Stationery,Basic,1/5/2024,5,2000,700,10000,
6,Laptop,South,Electronics,Premium,1/6/2024,1,55000,9000,55000,
7,Mobile,East,Electronics,Standard,1/7/2024,1,22000,3200,22000,
8,Tablet,West,Electronics,Basic,1/8/2024,2,15000,2500,30000,
9,Chair,North,Furniture,Standard,1/9/2024,1,7000,1200,7000,
10,Notebook,South,Stationery,Basic,1/10/2024,3,2000,600,6000,
11,Laptop,East,Electronics,Premium,1/11/2024,1,60000,10000,60000,
12,Mobile,West,Electronics,Standard,1/12/2024,2,21000,3500,42000,
13,Tablet,North,Electronics,Basic,1/13/2024,1,15000,1800,15000,
14,Chair,South,Furniture,Standard,1/14/2024,2,7000,1400,14000,
15,Notebook,East,Stationery,Basic,1/15/2024,4,2000,800,8000,
16,Laptop,West,Electronics,Premium,1/16/2024,1,58000,9500,58000,
17,Mobile,North,Electronics,Standard,1/17/2024,1,20000,2800,20000,
18,Tablet,South,Electronics,Basic,1/18/2024,2,15000,2200,30000,
19,Chair,East,Furniture,Standard,1/19/2024,3,7000,1600,21000,
20,Notebook,West,Stationery,Basic,1/20/2024,5,2000,900,10000,
21,Laptop,North,Electronics,Premium,1/21/2024,1,52000,8500,52000,
22,Mobile,South,Electronics,Standard,1/22/2024,2,21000,3300,42000,
23,Tablet,East,Electronics,Basic,1/23/2024,1,15000,1900,15000,
24,Chair,West,Furniture,Standard,1/24/2024,2,7000,1500,14000,
25,Notebook,North,Stationery,Basic,1/25/2024,4,2000,700,8000,
26,Laptop,South,Electronics,Premium,1/26/2024,1,54000,8800,54000,
27,Mobile,East,Electronics,Standard,1/27/2024,1,23000,3400,23000,
28,Tablet,West,Electronics,Basic,1/28/2024,2,15000,2600,30000,
29,Chair,North,Furniture,Standard,1/29/2024,3,7000,1700,21000,
30,Notebook,South,Stationery,Basic,1/30/2024,5,2000,850,10000,
31,Laptop,East,Electronics,Premium,1/31/2024,1,60000,10200,60000,
